Time,LA,LL,RA,V1,V2,V3,V4,V5,V6,Spare
0.0005,1.2774889,1.2773706,1.2763772,1.2780074,1.2776169,1.2774257,1.2762397,1.276469,1.2771378,0.0142857
0.001,1.277488,1.277371,1.2763755,1.2780086,1.2776183,1.2774256,1.2762402,1.2764692,1.2771391,0.0142857
0.0015,1.2774867,1.277371,1.2763742,1.2780092,1.2776195,1.2774257,1.2762407,1.2764701,1.2771404,0.0142857
0.002,1.2774858,1.2773703,1.2763736,1.27801,1.2776209,1.2774264,1.2762407,1.276471,1.2771414,0.0142857
0.0025,1.2774854,1.277369,1.2763739,1.2780109,1.2776224,1.2774268,1.2762404,1.2764715,1.277142,0.0142857
0.003,1.2774857,1.2773678,1.2763746,1.2780114,1.2776238,1.2774268,1.2762396,1.276472,1.277142,0.0142857
0.0035,1.2774869,1.277367,1.2763754,1.2780117,1.2776248,1.2774265,1.2762388,1.2764732,1.2771413,0.0142857
0.004,1.277489,1.2773672,1.2763754,1.278012,1.2776264,1.2774265,1.2762388,1.2764746,1.2771399,0.0142857
0.0045,1.2774909,1.277368,1.2763743,1.2780128,1.2776285,1.2774268,1.2762399,1.2764753,1.2771379,0.0142857
0.005,1.2774915,1.2773693,1.2763726,1.278014,1.2776308,1.2774271,1.2762414,1.2764753,1.2771364,0.0142857
0.0055,1.2774912,1.2773706,1.2763709,1.2780155,1.2776328,1.277427,1.2762427,1.2764749,1.2771359,0.0142857
0.006,1.2774897,1.2773715,1.2763693,1.2780174,1.2776343,1.2774264,1.2762434,1.2764743,1.2771368,0.0142857
0.0065,1.277488,1.2773721,1.276368,1.2780194,1.2776359,1.2774253,1.2762439,1.2764738,1.2771385,0.0142857
0.007,1.2774863,1.2773721,1.2763671,1.2780213,1.2776369,1.2774245,1.2762437,1.2764735,1.2771404,0.0142857
0.0075,1.2774852,1.2773713,1.2763667,1.2780235,1.277638,1.2774245,1.2762431,1.2764736,1.2771424,0.0142857
0.008,1.2774852,1.2773707,1.2763667,1.2780253,1.2776394,1.2774259,1.2762427,1.2764744,1.2771446,0.0142857
0.0085,1.277486,1.2773706,1.2763668,1.2780264,1.2776414,1.2774279,1.2762424,1.2764762,1.2771469,0.0142857
0.009,1.2774867,1.2773709,1.276367,1.2780269,1.2776437,1.2774293,1.2762425,1.2764782,1.277148,0.0142857
0.0095,1.2774874,1.2773718,1.2763665,1.2780272,1.2776458,1.27743,1.276243,1.2764795,1.2771482,0.0142857
0.01,1.2774874,1.2773727,1.2763651,1.2780273,1.2776477,1.27743,1.2762437,1.2764799,1.2771483,0.0142857
0.0105,1.2774872,1.2773736,1.2763633,1.2780275,1.2776491,1.2774299,1.276244,1.2764796,1.2771494,0.0142857
0.011,1.2774874,1.2773747,1.2763611,1.2780276,1.2776503,1.2774294,1.2762439,1.2764793,1.2771512,0.0142857
0.0115,1.2774878,1.2773761,1.2763591,1.2780281,1.2776509,1.2774293,1.2762434,1.2764795,1.2771528,0.0142857
0.012,1.2774884,1.2773776,1.2763576,1.2780287,1.2776512,1.2774296,1.2762439,1.2764801,1.2771535,0.0142857
0.0125,1.2774884,1.2773785,1.2763561,1.2780292,1.2776517,1.2774308,1.2762454,1.2764815,1.2771542,0.0142857
0.013,1.2774881,1.2773788,1.2763545,1.2780295,1.2776529,1.2774322,1.2762476,1.2764836,1.2771546,0.0142857
0.0135,1.2774875,1.2773787,1.276353,1.2780298,1.2776546,1.2774336,1.2762497,1.2764853,1.2771549,0.0142857
0.014,1.2774872,1.2773788,1.2763522,1.2780309,1.2776564,1.2774351,1.2762517,1.2764862,1.2771554,0.0142857
0.0145,1.2774877,1.2773792,1.2763522,1.2780328,1.2776579,1.2774371,1.2762534,1.2764868,1.2771566,0.0142857
0.015,1.2774884,1.2773796,1.2763522,1.2780351,1.277659,1.2774397,1.2762546,1.2764877,1.2771583,0.0142857
0.0155,1.2774894,1.2773799,1.2763516,1.2780373,1.2776601,1.2774421,1.2762552,1.2764896,1.2771597,0.0142857
0.016,1.27749,1.2773799,1.2763504,1.278039,1.2776618,1.2774438,1.2762551,1.2764922,1.2771606,0.0142857
0.0165,1.2774903,1.2773801,1.276349,1.27804,1.2776642,1.2774451,1.2762549,1.2764948,1.2771614,0.0142857
0.017,1.2774909,1.277381,1.2763478,1.2780408,1.2776673,1.2774466,1.2762557,1.2764963,1.2771626,0.0142857
0.0175,1.2774917,1.2773828,1.2763469,1.2780414,1.2776705,1.277448,1.2762571,1.2764968,1.2771643,0.0142857
0.018,1.2774929,1.2773845,1.2763464,1.278042,1.2776733,1.277449,1.2762588,1.2764965,1.2771656,0.0142857
0.0185,1.2774939,1.2773853,1.2763458,1.278043,1.2776756,1.2774498,1.2762604,1.2764959,1.2771656,0.0142857
0.019,1.2774946,1.2773854,1.2763452,1.278044,1.277677,1.2774513,1.2762624,1.2764959,1.2771647,0.0142857
0.0195,1.2774946,1.2773859,1.2763446,1.2780456,1.277678,1.2774538,1.276265,1.2764969,1.2771644,0.0142857
0.02,1.2774938,1.2773876,1.2763437,1.2780469,1.2776788,1.2774561,1.2762673,1.2764988,1.2771649,0.0142857
0.0205,1.2774929,1.2773896,1.2763424,1.2780485,1.2776799,1.2774576,1.2762689,1.2765008,1.277166,0.0142857
0.021,1.2774921,1.2773913,1.2763406,1.27805,1.2776814,1.2774585,1.2762695,1.276502,1.2771669,0.0142857
0.0215,1.2774923,1.2773923,1.2763386,1.2780511,1.2776837,1.277459,1.2762698,1.2765028,1.2771675,0.0142857
0.022,1.277493,1.2773926,1.2763369,1.2780515,1.2776868,1.2774598,1.2762706,1.2765031,1.2771673,0.0142857
0.0225,1.2774943,1.2773926,1.2763357,1.2780515,1.2776903,1.2774615,1.2762719,1.2765034,1.2771669,0.0142857
0.023,1.2774956,1.2773931,1.2763351,1.2780517,1.2776935,1.2774636,1.2762744,1.276504,1.277167,0.0142857
0.0235,1.2774972,1.2773943,1.2763345,1.278052,1.2776958,1.2774651,1.276277,1.2765051,1.2771675,0.0142857
0.024,1.2774984,1.2773957,1.2763337,1.2780532,1.2776969,1.2774659,1.2762791,1.276506,1.2771679,0.0142857
0.0245,1.2774992,1.2773966,1.2763332,1.2780554,1.2776973,1.277467,1.2762805,1.2765067,1.2771681,0.0142857
0.025,1.2774992,1.2773971,1.2763329,1.2780578,1.2776973,1.277468,1.2762807,1.2765075,1.2771683,0.0142857
0.0255,1.2774982,1.2773972,1.2763326,1.2780597,1.2776973,1.2774687,1.2762801,1.2765087,1.277169,0.0142857
0.026,1.2774967,1.2773974,1.2763317,1.2780604,1.2776981,1.2774684,1.2762796,1.2765109,1.2771699,0.0142857
0.0265,1.2774952,1.2773978,1.2763299,1.2780607,1.2776998,1.277468,1.2762802,1.2765135,1.2771713,0.0142857
0.027,1.2774946,1.2773991,1.2763277,1.2780609,1.2777018,1.277469,1.2762824,1.2765162,1.2771732,0.0142857
0.0275,1.2774949,1.2774009,1.2763257,1.278061,1.2777035,1.2774711,1.2762854,1.2765182,1.2771751,0.0142857
0.028,1.2774956,1.2774032,1.2763239,1.278061,1.2777055,1.2774734,1.2762891,1.2765199,1.277177,0.0142857
0.0285,1.2774966,1.2774051,1.2763225,1.2780614,1.2777081,1.2774754,1.2762934,1.2765218,1.2771787,0.0142857
0.029,1.277497,1.2774066,1.2763211,1.2780618,1.2777105,1.2774779,1.2762978,1.2765238,1.2771804,0.0142857
0.0295,1.2774975,1.2774077,1.2763205,1.2780621,1.2777127,1.2774814,1.2763018,1.2765256,1.2771819,0.0142857
0.03,1.2774981,1.2774087,1.2763207,1.2780627,1.2777145,1.2774852,1.276305,1.2765271,1.277183,0.0142857
0.0305,1.2774984,1.27741,1.2763213,1.2780637,1.2777165,1.2774886,1.2763076,1.2765291,1.277184,0.0142857
0.031,1.2774987,1.2774112,1.2763216,1.2780652,1.2777183,1.2774913,1.2763098,1.2765317,1.2771854,0.0142857
0.0315,1.2774992,1.2774123,1.276321,1.2780669,1.2777199,1.2774943,1.2763119,1.2765343,1.2771871,0.0142857
0.032,1.2774998,1.2774135,1.2763196,1.2780687,1.2777209,1.2774972,1.2763136,1.2765366,1.2771886,0.0142857
0.0325,1.2775007,1.2774147,1.2763181,1.2780705,1.277722,1.2775001,1.2763145,1.2765388,1.2771902,0.0142857
0.033,1.2775016,1.2774159,1.2763165,1.2780724,1.2777232,1.2775022,1.2763147,1.2765409,1.2771915,0.0142857
